"Fall","Summer"
93,54
87,70
57,69
75,79
96,91
70,46
50,66
76,88
100,84
87,66
74,46
82,75
81,85
80,80
59,95
85,79
84,51
69,51
68,59
71,72
74,81
43,91
51,87
70,88
79,70
67,90
84,66
93,72
56,78
65,74
85,89
63,88
93,55
46,93
44,64
99,NA
74,NA
52,NA
56,NA
52,NA
